sample-id	IMR quality control	voucher image	species	stage	morph	sex	year	month	city	site_name	latitude	longitude	host_plant	temp_degF	relative_humidity	windspeed_mph	D_ng_ul	A260_280	Adjusted for sequencing conc.
																			
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	
																			
DRA190110-001	failed	FALSE	Jhae	adult	SW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	113.09	2.18	Yes
																			
DRA190110-002	passed	FALSE	Jhae	adult	SW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	220.64	2.17	diluted to 173.0
																			
DRA190110-003	failed	FALSE	Jhae	adult	SW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	385.36	2.12	diluted to 165.8
																			
DRA190110-004	passed	FALSE	Jhae	adult	SW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	155.8	2.19	Yes
																			
DRA190110-005	failed	FALSE	Jhae	adult	SW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	140.16	2.17	Yes
																			
DRA190110-006	passed	TRUE	Jhae	adult	SW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	28.2	2.28	Yes
																			
DRA190110-007	passed	TRUE	Jhae	adult	LW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	77.12	2.18	Yes
																			
DRA190110-008	passed	TRUE	Jhae	adult	LW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	1128.55	2.18	diluted to 182.5
																			
DRA190110-009	passed	TRUE	Jhae	adult	LW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	323.63	2.17	diluted to 179.1
																			
DRA190110-010	failed	TRUE	Jhae	adult	LW	f	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	332.04	2.18	diluted to 127.5
																			
DRA190110-011	passed	FALSE	Jhae	adult	LW	m	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	166.12	2.21	Yes
																			
DRA190110-012	passed	FALSE	Jhae	adult	LW	m	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	146.52	2.17	Yes
																			
DRA190110-013	passed	FALSE	Jhae	adult	LW	m	2019	January	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	68.1	20.8	2.6	92.83	2.28	Yes
																			
DRA190112-001	passed	TRUE	Jhae	instar5		m	2019	January	Key Largo FL	Key Largo Tower	25.123139	-80.415361	BV				11.38	2.05	Yes
																			
DRA190118-002	passed	FALSE	Jhae	adult	LW	f	2019	January	Delray Beach FL	Delray Beach	26.474905	-80.09115	GRT	65	70.3	0	201.78	2.14	diluted to 155.2
																			
DRA190118-003	passed	FALSE	Jhae	adult	LW	f	2019	January	Delray Beach FL	Delray Beach	26.474905	-80.09115	GRT	65	70.3	0	146.61	1.9	Yes
																			
